centro_salud,estado_geografico,municipio,tipo
Hospital Dr. Pastor Oropeza (Ivss) Hospita L Andres E Loy Blanco Av. L Av. La Salle Entre Av. Florencio Jimenez Y,Lara,Iribarren,III
Hospital Esp. Ped. Agustin Zubillaga,Lara,Iribarren,III
Hospital HOSPITAL CENTRAL UNIVERSITARIO DR. ANTONIO MARÍA PINEDA,Lara,Iribarren,IV
Hospital HOSPITAL DR. PASTOR OROPEZA R.,Lara,Iribarren,IV
Hospital La Carucieña Hospita L Urb. La Carucieña Sector I - Av. 4 Esquina Calle 8 Sector Ii Telefono,Lara,Iribarren,I
Hospital Rafael Antonio Gil,Lara,Crespo,I
Hospital Domin Go Luciani (Ivss),Miranda,Cre,IV
Hospital Dr. E Rnesto Regener,Miranda,Paez,I
Hospital Dr. Hermogenes Rivero Saldivia,Miranda,Acevedo,I
Hospital Dr. M Iguel Osio,Miranda,Urdaneta,II
Hospital Dr. V Ictorino Santaella,Miranda,Guaicaipuro,IV
Hospital Higuerote,Miranda,Brion,I
Hospital Jesus Leon Rivas,Miranda,Dro Gual,I
Hospital Luis Salazar Dominguez (Ivss),Miranda,Aza,II
Hospital Perez De Leon Ii,Miranda,Cre,II
Hospital Santa Teresita De Jesus,Miranda,Independencia,I
Hospital T Ipo Ii La Urbina Calle,Miranda,Cre,II
Hospital Ti Po I Carriz Al Capital Cementer Maternidad De Bajo Riesgo Y Atencion Calle Principal De Carrrizal Diagonal Al,Miranda,Carrizal,I
Hospital HOSPITAL UNIVERSITARIO DR. MANUEL NÚÑEZ TOVAR,Monagas,Maturín,IV
Hospital Bailadores,Mérida,Rivas Davila,I
Hospital Canagua Ho Spital Canagua Bolivar Farmacia Canagua Media Cuadra Plaza,Mérida,Arzobispo Chacon,I
Hospital El Vigia,Mérida,Alberto Adriani,II
Hospital Francisco V. Gutierrez (Mucuchies),Mérida,Rangel,I
Hospital Lagunillas,Mérida,Sucre,I
Hospital Puerto Rico Sector Puerto Rico Mérida,Mérida,Antonio Pinto Salinas,I
Hospital San Jose De Tovar Ho Spital San Jose Carrera 4 Ta Av. Tachira El Llano Tovar Mérida Táchira,Mérida,Tovar,II
Hospital Santo Domingo,Mérida,Cardenal Quintero,I
Hospital Tulio Febres Cordero (La Azulita),Mérida,Andres Bello,I
Hospital Universitario De Los Andes,Mérida,Libertador,IV
Hospital Central Dr. Luis Ortega (Ivss),Nueva Esparta,Mariño,III
Hospital Dr. Agustin Rafael Hernandez,Nueva Esparta,Marcano,I
Hospital Dr. Armando Mata Sanchez,Nueva Esparta,Tubores,I
Hospital Dr. David Espinoza Rojas,Nueva Esparta,Arismendi,I
Hospital Capital Guanare Ipasme Guanare Unidades Casco Central Guanare Av. Limonero (Al Lado Del Hospital) Con,Portuguesa,Guanare,II
Hospital De Agua Blanca,Portuguesa,Agua Blanca,I
Hospital Dr. Armando Delgado Monte Ro,Portuguesa,Turen,I
Hospital Dr. Jesus M. Casal Ramos,Portuguesa,Araure,III
Hospital Dr. Oswaldo Barrios,Portuguesa,Esteller,I
Hospital Dr. Raul Humberto De P Ascuali,Portuguesa,Ospino,I
Hospital Universitario Dr. Miguel O Raa,Portuguesa,Guanare,III
Hospital Dr. Andres Gutierrez Solis,Sucre,Valdez,I
Hospital Dr. Diego Carbonell Hospit Al Comuni Dad Cariaco Cariaco,Sucre,Ribero,I
Hospital Dr. Julio Rodriguez Hospit Al Parroq Uia Altagracia Altagracia,Sucre,Sucre,III
Hospital Dr. Luis D. Beauperthuy,Sucre,Montes,I
Hospital Dr. Pedro R. Figallo,Sucre,Arismendi,I
Hospital Dr. Santos Anibal Dominicci,Sucre,Bermudez,III
Hospital Freddy Mocary De Irapa,Sucre,Mariño,I
Hospital I Yaguaraparo,Sucre,Cajigal,I
Hospital U. Antonio Patricio De Alcala,Sucre,Sucre,IV
Hospital Virgen Del Valle,Sucre,Cruz Salmeron Acosta,I
Hospital Dr. Jose Vasallo Cortez,Trujillo,Sucre,I
Hospital HOSPITAL DR. PEDRO EMILIO CARRILLO,Trujillo,Valera,III
Hospital Maria Arcelis Alvarez,Trujillo,Rafael Rangel,I
Hospital Hospital Central San Cristobal,Táchira,San Cristóbal,
Hospital D R. Placido Daniel Rodriguez,Yaracuy,San Felipe,III
Hospital Dr. Jose Elias Landinez,Yaracuy,Bolivar,I
Hospital Dr. Tiburcio Garrido,Yaracuy,Bruzual,I
Hospital P Adre Oliveros Hospita L Nirgua (Capital),Yaracuy,Nirgua,I
Hospital Casigua El Cubo,Zulia,Jesus Maria Semprun,I
Hospital Central Dr. Urquinaona,Zulia,Maracaibo,III
Hospital Concepcion Dr. Jose Maria Varg As,Zulia,Jesus Enrique Lossada,militar
Hospital De,Zulia,Jesus Enrique Lossada,militar
Hospital De Niños,Zulia,Maracaibo,II
Hospital Dr. Adolfo Pons (Ivss),Zulia,Maracaibo,III
Hospital Dr. Hugo Parra Leon,Zulia,Miranda,II
Hospital Dr. Pedro Garcia Clara (Ivss),Zulia,Lagunillas,III
